Date,Close,High,Low,Open,Volume,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,EMA_10,EMA_20,EMA_50,EMA_100,EMA_200,DPO,CCI_20,ADX_14,Vortex_Pos,Vortex_Neg,PSAR,RSI_7,RSI_14,Stoch_K,Stoch_D,Williams_%R,TSI,KAMA,ATR_14,BB_High,BB_Low,BB_Width,KC_High,KC_Low,KC_Width,OBV,CMF,ADI,FI,Volatility,Log_Return,Cumulative_Return,Rolling_Close_Mean_10,Rolling_Close_Std_10,Rolling_Volume_Mean_10,Rolling_Volume_Std_10,Is_Weekend,Day_of_Week,Month,Quarter
2000-01-01,93.3283920288086,93.72553412254821,92.93124993506899,93.30853492412162,3172700.0,93.12879867553711,91.76968994140626,90.58791564941406,87.03189727783203,86.17971645355225,92.84064483594867,92.09149797777287,90.37126611180565,88.4715433060591,86.30358841920253,-0.3873199462890682,85.70520821170179,23.99183281480754,1.152439876741739,0.8475600956899454,91.17912807739543,76.25370151108092,70.52886410506207,89.37195259333994,88.16424720451441,-10.628047406660063,36.09320680190018,92.99589630376884,1.0457815695378838,94.67003205557793,88.86934782723458,5.800684228343357,92.63756085896641,90.68172811199773,1.9558327469686816,2326023800.0,0.3789808876195879,-5.676403920114665e-08,708862.5949669566,0.7942841874792208,0.0,3.5102677507238615,93.12879867553711,0.15097694258002972,4265000.0,1306857.6425065242,1,5,1,1
2000-01-02,93.3283920288086,93.72553412254821,92.93124993506899,93.30853492412162,3172700.0,93.15362396240235,91.93166236877441,90.68281356811524,87.1554111480713,86.22629833221436,92.92932614374138,92.20929741120484,90.48723183404107,88.56771852829176,86.3734869625817,-0.3109958648681612,78.10525970514563,25.230722363193063,1.1524398725392284,0.8475600998924566,91.48946281029585,76.25370151108093,70.52886410506207,89.37195259333994,89.37195259333994,-10.628047406660063,36.773712564139046,93.01531651558365,1.0278174708194079,94.80010668882802,89.0632180487208,5.7368886401072245,92.79632913359849,90.85218695205398,1.9441421815445068,2329196500.0,0.3754722936740779,-5.676403920114665e-08,607596.5099716772,0.7942841874792208,0.0,3.5102677507238615,93.15362396240235,0.16208815991815956,4010100.0,1237932.702353196,1,6,1,1
2000-01-03,92.4149169921875,94.20205548150784,91.42206227589841,94.20205548150784,8164300.0,93.08710174560547,92.09153938293457,90.75944198608398,87.26979026794433,86.26437408447265,92.83579720709523,92.22888022844128,90.56282733043898,88.64390067609168,86.43360069421956,0.9885997772216797,39.44008254698522,23.68459698599883,1.0806135022565166,0.8259762969253259,93.76525085156561,43.14762663163263,56.85676233785111,59.2758182861845,79.33990782428813,-40.7241817138155,33.55818540447789,92.9639613304873,1.1529728804472665,94.67977582040359,89.50330294546555,5.176472874938042,93.03251137890453,90.92823031006249,2.1042810688420417,2321032200.0,0.3928846541740279,-2332657.142857107,-544615.0259507902,2.779993205609429,-0.009835965624050343,3.4757408777965293,93.08710174560547,0.28528524958524515,4254360.0,1748760.5129220777,0,0,1,1
2000-01-04,88.8009262084961,91.54120523729136,88.73142637805563,91.20363463229484,8089800.0,92.65918045043945,92.0469467163086,90.75963073730469,87.34802947998047,86.28389007568359,92.102184298259,91.90240841701794,90.49373316879417,88.64701009257493,86.45715617197357,1.0331924438476534,-130.6209069303681,24.858803827991416,0.858522728660767,0.9795453186501112,93.72553412254821,14.363695661304789,31.13851623281326,1.2704175173675363,49.972729465630664,-98.72958248263247,17.741639279784078,91.73087226192749,1.333724147139024,94.82288459196289,89.2710088406543,5.551875751308586,93.11217464866866,90.86458460243,2.247590046238656,2312942400.0,0.2872201239702343,-7689597.879858636,-4643450.399658782,2.8097788592357347,-0.03989132470751765,3.3370889698411554,92.65918045043945,1.3853429166909723,4491170.0,2095502.950526818,0,1,1,1
2000-01-05,88.95977020263672,89.93276768922806,87.21234614508492,88.92005601951054,12177900.0,92.2471435546875,91.99048805236816,90.7481396484375,87.42250846862792,86.30420028686524,91.53083628087313,91.62215715850544,90.43357775835662,88.6532033620811,86.48205780411948,1.089651107788086,-171.82107083053637,26.750064796034955,0.7413074186039695,1.0685083862675193,94.20205548150784,17.19622159454906,32.581972745206556,24.99995312317329,28.515396308908446,-75.00004687682672,7.19333699243361,91.00112967521906,1.4327739612107462,94.96243307176587,89.01854303297046,5.943890038795416,93.13591159030933,90.71136006879244,2.4245515215168894,2325120300.0,0.2866844936775553,3466701.4598540273,-3703759.4459582255,2.720421544143136,0.0017871671255357486,3.343052905543044,92.2471435546875,1.7976299484193163,5136790.0,3213228.8314438732,0,2,1,1
2000-01-06,87.53005981445312,89.91291080758707,87.53005981445312,88.72148531102009,6227200.0,91.70504302978516,91.83361625671387,90.70330123901367,87.48427536010742,86.31736194610596,90.80342237788767,91.23243360192903,90.3197143095761,88.63096289579143,86.49248568481933,1.2465229034423828,-166.92121135308673,28.50623569493252,0.7305992731007741,1.112739007299783,93.78267292132247,12.763201748963567,27.07979456225999,4.545448946104494,10.271939862215108,-95.4545510538955,-3.969713817003574,89.97996881838628,1.5006366063481174,95.34972837552384,88.3175041379039,7.032224237619943,93.09818233754922,90.51477409668175,2.5834082408674703,2318893100.0,0.22517156548000578,-6227200.0,-4446521.315006604,2.3828509931339426,-0.016201972241553553,3.2888888551653905,91.70504302978516,2.3069918993727088,5490410.0,3106984.7817994333,0,3,1,1
2000-01-07,92.61354064941406,92.61354064941406,88.99954742510158,89.15840427012631,8066500.0,91.67724609375,91.93091850280761,90.7474543762207,87.60658279418945,86.35495346069337,91.13253479089246,91.36396760645142,90.4096682836874,88.70982582160573,86.55339170436754,1.0201465606689482,-21.525073595558045,27.125806838608145,0.7761554593086573,0.9233535627199511,93.38845331474822,57.84371650931558,55.71545734838727,77.27352089140344,35.60630765356041,-22.72647910859657,0.1193546325260084,89.99625358710058,1.756554051249033,95.42016806648401,88.44166893913122,6.978499127352791,93.27623683447199,90.41085765113607,2.865379183335918,2326959600.0,0.29099376237094726,8066500.0,2046681.4664532533,3.6139932243124804,0.05645308317388016,3.4745567712556897,91.67724609375,2.2927383420922616,5888610.0,3161473.1845384194,0,4,1,1
2000-01-08,92.61354064941406,92.61354064941406,88.99954742510158,89.15840427012631,8066500.0,91.6097396850586,92.02822074890136,90.79319244384766,87.7166088104248,86.39550800323487,91.40180858335093,91.48297456292406,90.4960946509708,88.78712710532471,86.61369169387049,0.8632892608642635,-24.159010328255146,25.843980043449793,0.7981715748691671,0.9308920839420779,93.01788688456843,57.84371650931558,55.71545734838727,77.27352089140344,53.030830242970445,-22.72647910859657,2.639671887409495,90.02242332526389,1.889228277896422,95.47944354472754,88.57699795307518,6.902445591652366,93.45429133139476,90.30694120559039,3.1473501258043655,2335026100.0,0.35303479510076496,8066500.0,1754298.3998170744,3.6139932243124804,0.0,3.4745567712556897,91.6097396850586,2.2495540697735037,6395160.0,3051287.498454081,1,5,1,1
2000-01-09,92.61354064941406,92.61354064941406,88.99954742510158,89.15840427012631,8066500.0,91.55314712524414,92.15828552246094,90.83893051147462,87.82841773986816,86.43813632965087,91.62212350445331,91.59064752354216,90.57913174894898,88.8628976705542,86.67339168347789,1.1303192138671818,-28.790901071276004,24.65371230508847,0.8162447306103784,0.9370804993204159,92.66955444019942,57.84371650931557,55.71545734838727,77.27352089140344,77.27352089140344,-22.72647910859657,4.344774013163004,90.04558434626948,2.0124257740689977,95.48979565782274,88.82677538709915,6.663020270723592,93.6280417498189,90.25233488766185,3.3757068621570596,2343092600.0,0.42909498364322857,8066500.0,1503684.3427003496,3.6139932243124804,0.0,3.4745567712556897,91.55314712524414,2.212489531231237,6837680.0,2925834.95349807,1,6,1,1
2000-01-10,92.93115997314453,93.34815876789582,92.156733640035,92.93115997314453,5741700.0,91.51342391967773,92.2357250213623,90.89102096557617,87.94340286254882,86.48551322937011,91.86013013512444,91.71831537588524,90.67136814989782,88.94345732011044,86.73565803461885,0.9437412261962947,43.37564621276209,22.911241154235768,0.9210316805449846,0.9190441764855284,87.21234614508492,59.8997146012043,57.03220396192605,81.81762005837987,78.78822061372891,-18.182379941620123,6.0932546469060895,90.06657249586978,1.953782870768414,95.56349158172185,88.90795846100275,6.655533120719099,93.69621456570076,90.37412195280835,3.322092612892405,2348834300.0,0.3960212034790817,1722509.999999952,1549397.2753236187,1.1914251278608248,0.003423645438631124,3.4864524216968644,91.51342391967773,2.180408599399378,7094580.0,2669867.0219902443,0,0,1,1
